668,'','','disburse','DV-0000000566','','','2016-06-21 08:11:39.000',670.00,4499,1,'004',
20900,'','','journal','JV-0000051944','','','2018-09-28 09:33:49.000',0.00,9150,0,'002','To record of monthly interest withdrawal of time deposit for the month of September 2018'
20942,'','','journal','JV-0000051986','','','2018-09-28 11:18:05.000',0.00,7635,0,'005','To record current to past due loans report for the day.'
20943,'','','journal','JV-0000051987','','','2018-09-28 11:24:19.000',0.00,7636,0,'005','To record reactivated past due loans report for the day.'
