10025067,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,'0','010','001'
10011126,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,'0','002','001'
10011126,1356273.46,6491323.40,1130347.40,0.00,5325910.30,3648311.37,2274334.93,1894734.93,1585297.93,803373.15,1130347.40,6491323.40,1356273.46,4020864.87,4360056.03,5003170.95,'0','004','001'
10011127,9174345.74,4478325.74,2725096.32,0.00,3142996.43,4573441.25,1913130.03,2788683.70,5523351.81,856640.99,2725096.32,4478325.74,9174345.74,5992291.02,8413261.02,6593500.50,'0','004','001'
10011127,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,'0','007','001'
10011128,25060627.40,21864657.28,27042815.80,0.00,52141896.72,54943122.69,48482366.63,44233238.60,38643909.32,44444307.91,27042815.80,21864657.28,25060627.40,40258677.88,41586052.00,45257569.45,'0','004','001'
10011129,4209882.25,5293122.25,924582.25,0.00,4855094.05,3070264.05,2167681.07,3238601.07,1476601.07,4022582.25,924582.25,5293122.25,4209882.25,6378510.13,7373820.13,10112094.05,'0','004','001'
10026151,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,'0','010','001'
10011131,0.00,0.00,407542.68,0.00,1363990.33,530770.33,936848.75,425658.75,1198408.75,100992.68,407542.68,0.00,0.00,287568.76,570538.76,94450.33,'0','007','001'
10011131,674131.68,554329.68,407542.68,0.00,1363990.33,530770.33,936848.75,425658.75,1198408.75,100992.68,407542.68,554329.68,674131.68,287568.76,570538.76,94450.33,'0','008','001'
40444018,5.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.77,0.00,0.00,0.00,'0','006','001'
50095000,3317.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,909.00,0.00,2408.00,0.00,0.00,0.00,0.00,'0','010','001'
10025063,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,'0','007','001'
